idx,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
70,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.09759999999999999,-0.06831999999999999,-0.08784,-0.10736,-0.11712
71,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.09759999999999999,-0.06831999999999999,-0.08784,-0.10736,-0.11712
72,-0.09759999999999999,-0.11712,-0.01952000000000001,0.10736,-0.03903999999999999,-0.06832,0.0,-0.10736,-0.05856,-0.07808,-0.10736,-0.10736
73,-0.09759999999999999,-0.11712,-0.01952000000000001,0.10736,-0.03903999999999999,-0.06832,0.0,-0.10736,-0.05856,-0.07808,-0.10736,-0.10736
74,-0.09759999999999999,-0.11712,-0.01952000000000001,0.10736,-0.03903999999999999,-0.06832,0.0,-0.10736,-0.05856,-0.07808,-0.10736,-0.10736
75,-0.09759999999999999,-0.11712,-0.01952000000000001,0.10736,-0.03903999999999999,-0.06832,0.0,-0.10736,-0.05856,-0.07808,-0.10736,-0.10736
76,-0.10736,-0.12688,-0.019519999999999996,0.11712,-0.04392,-0.07319999999999999,0.0,-0.09759999999999999,-0.06831999999999999,-0.08784,-0.10736,-0.09759999999999999
77,-0.10736,-0.12688,-0.019519999999999996,0.11712,-0.04392,-0.07319999999999999,0.0,-0.09759999999999999,-0.06831999999999999,-0.08784,-0.10736,-0.09759999999999999
78,-0.10736,-0.12688,-0.019519999999999996,0.11712,-0.04392,-0.07319999999999999,0.0,-0.09759999999999999,-0.06831999999999999,-0.08784,-0.10736,-0.09759999999999999
79,-0.10736,-0.12688,-0.019519999999999996,0.11712,-0.04392,-0.07319999999999999,0.0,-0.09759999999999999,-0.06831999999999999,-0.08784,-0.10736,-0.09759999999999999
80,-0.10248,-0.12688,-0.02439999999999999,0.11468,-0.039040000000000005,-0.07563999999999999,0.0,-0.09759999999999999,-0.06831999999999999,-0.08784,-0.09759999999999999,-0.10736
81,-0.09759999999999999,-0.12688,-0.02928,0.11223999999999999,-0.034159999999999996,-0.07808,0.0,-0.09759999999999999,-0.06831999999999999,-0.08784,-0.09759999999999999,-0.10736
82,-0.09272,-0.12688,-0.034159999999999996,0.1098,-0.02928,-0.08052,0.0,-0.09759999999999999,-0.06831999999999999,-0.08784,-0.09759999999999999,-0.10736
83,-0.08784,-0.12688,-0.03903999999999999,0.10736,-0.024400000000000005,-0.08295999999999999,0.0,-0.09759999999999999,-0.06831999999999999,-0.08784,-0.09759999999999999,-0.10736
84,-0.07808,-0.11712,-0.039040000000000005,0.09759999999999999,-0.019519999999999996,-0.07808000000000001,0.0,-0.10736,-0.06831999999999999,-0.08784,-0.10736,-0.10736
85,-0.07808,-0.11712,-0.039040000000000005,0.09759999999999999,-0.019519999999999996,-0.07808000000000001,0.0,-0.10736,-0.06831999999999999,-0.08784,-0.10736,-0.10736
86,-0.07808,-0.11712,-0.039040000000000005,0.09759999999999999,-0.019519999999999996,-0.07808000000000001,0.0,-0.10736,-0.06831999999999999,-0.08784,-0.10736,-0.10736
87,-0.07808,-0.11712,-0.039040000000000005,0.09759999999999999,-0.019519999999999996,-0.07808000000000001,0.0,-0.10736,-0.06831999999999999,-0.08784,-0.10736,-0.10736
88,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.10736,-0.06831999999999999,-0.07808,-0.10248,-0.10736
89,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.10736,-0.06831999999999999,-0.07808,-0.09759999999999999,-0.10736
90,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.10736,-0.06831999999999999,-0.07808,-0.09272,-0.10736
91,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.10736,-0.06831999999999999,-0.07808,-0.08784,-0.10736
92,-0.07808,-0.10736,-0.02928,0.09272,-0.024399999999999998,-0.06831999999999999,0.0,-0.10736,-0.06831999999999999,-0.07808,-0.08784,-0.10736
93,-0.07808,-0.10736,-0.02928,0.09272,-0.024399999999999998,-0.06831999999999999,0.0,-0.10736,-0.06831999999999999,-0.07808,-0.08784,-0.10736
94,-0.07808,-0.10736,-0.02928,0.09272,-0.024399999999999998,-0.06831999999999999,0.0,-0.10736,-0.06831999999999999,-0.07808,-0.08784,-0.10736
95,-0.07808,-0.10736,-0.02928,0.09272,-0.024399999999999998,-0.06831999999999999,0.0,-0.10736,-0.06831999999999999,-0.07808,-0.08784,-0.10736
96,-0.06831999999999999,-0.10736,-0.039040000000000005,0.08784,-0.014639999999999993,-0.0732,0.0,-0.09759999999999999,-0.06831999999999999,-0.07808,-0.08784,-0.11712
97,-0.06831999999999999,-0.10736,-0.039040000000000005,0.08784,-0.014639999999999993,-0.0732,0.0,-0.09759999999999999,-0.06831999999999999,-0.07808,-0.08784,-0.11712
